dogBreed,dogBreedLabel,countryLabel,height,heightQualifierLabel,mass,massQualifierLabel,lifeExpectancy,lifeExpectancyQualifierLabel
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,40,минимум,11,минимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,43,минимум,11,максимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,43,минимум,13,максимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,43,минимум,8,минимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,43,минимум,11,минимум,,
http://www.wikidata.org/entity/Q38691,нагази,Грузия,,,,,,
http://www.wikidata.org/entity/Q38621,Бразильский терьер,Бразилия,40,максимум,10,,,
http://www.wikidata.org/entity/Q38621,Бразильский терьер,Бразилия,38,максимум,10,,,
http://www.wikidata.org/entity/Q38621,Бразильский терьер,Бразилия,33,минимум,10,,,
http://www.wikidata.org/entity/Q38621,Бразильский терьер,Бразилия,35,минимум,10,,,
http://www.wikidata.org/entity/Q38686,Золотистый ретривер,Великобритания,56,максимум,,,,
http://www.wikidata.org/entity/Q38686,Золотистый ретривер,Великобритания,61,максимум,,,,
http://www.wikidata.org/entity/Q38686,Золотистый ретривер,Великобритания,51,минимум,,,,
http://www.wikidata.org/entity/Q38686,Золотистый ретривер,Великобритания,56,минимум,,,,
http://www.wikidata.org/entity/Q38650,Колли длинношёрстный,Великобритания,56,максимум,,,,
http://www.wikidata.org/entity/Q38650,Колли длинношёрстный,Великобритания,61,максимум,,,,
http://www.wikidata.org/entity/Q38650,Колли длинношёрстный,Великобритания,51,минимум,,,,
http://www.wikidata.org/entity/Q38650,Колли длинношёрстный,Великобритания,56,минимум,,,,
http://www.wikidata.org/entity/Q38631,Montenegrin Mountain Hound,Черногория,54,максимум,,,,
http://www.wikidata.org/entity/Q38631,Montenegrin Mountain Hound,Черногория,44,минимум,,,,
http://www.wikidata.org/entity/Q38642,Чешский терьер,Чехия,32,максимум,10,максимум,,
http://www.wikidata.org/entity/Q38642,Чешский терьер,Чехия,32,максимум,6,минимум,,
http://www.wikidata.org/entity/Q38602,Ханаанская собака,Палестина,60,максимум,25,максимум,,
http://www.wikidata.org/entity/Q38602,Ханаанская собака,Палестина,60,максимум,18,минимум,,
http://www.wikidata.org/entity/Q38642,Чешский терьер,Чехия,25,минимум,10,максимум,,
http://www.wikidata.org/entity/Q38642,Чешский терьер,Чехия,25,минимум,6,минимум,,
http://www.wikidata.org/entity/Q38710,Исландская собака,Исландия,42,,,,,
http://www.wikidata.org/entity/Q38710,Исландская собака,Исландия,46,,,,,
http://www.wikidata.org/entity/Q38688,Ризеншнауцер,Германия,70,максимум,47,максимум,,
http://www.wikidata.org/entity/Q38688,Ризеншнауцер,Германия,70,максимум,35,минимум,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,70,минимум,50,максимум,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,70,минимум,60,максимум,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,70,минимум,40,минимум,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,70,минимум,50,минимум,,
http://www.wikidata.org/entity/Q38655,Немецкий шпиц,Германия,45,Großspitz,,,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,65,минимум,50,максимум,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,65,минимум,60,максимум,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,65,минимум,40,минимум,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,65,минимум,50,минимум,,
http://www.wikidata.org/entity/Q38602,Ханаанская собака,Палестина,50,минимум,25,максимум,,
http://www.wikidata.org/entity/Q38602,Ханаанская собака,Палестина,50,минимум,18,минимум,,
http://www.wikidata.org/entity/Q38638,Истрийская гончая,Хорватия,51,максимум,,,,
http://www.wikidata.org/entity/Q38638,Истрийская гончая,Хорватия,53,максимум,,,,
http://www.wikidata.org/entity/Q38638,Истрийская гончая,Хорватия,47,минимум,,,,
http://www.wikidata.org/entity/Q38638,Истрийская гончая,Хорватия,49,минимум,,,,
