dogBreed,dogBreedLabel,countryLabel,height,heightQualifier,mass,massQualifier,lifeExpectancy,lifeExpectancyQualifier
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,71,http://www.wikidata.org/entity/Q10585806,62,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,76,http://www.wikidata.org/entity/Q10578722,62,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q37737,Брогольмер,Дания,75,,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q37737,Брогольмер,Дания,70,,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38096,Эштрельская овчарка,Португалия,62,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38096,Эштрельская овчарка,Португалия,69,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38096,Эштрельская овчарка,Португалия,65,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38096,Эштрельская овчарка,Португалия,73,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,75,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,75,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,68,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,68,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,65,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,65,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,60,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,60,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,76,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,68,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,70,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,65,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q39073,Рафейру ду Алентежу,Португалия,70,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q39073,Рафейру ду Алентежу,Португалия,64,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q39073,Рафейру ду Алентежу,Португалия,66,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10578722,,
